iter	Passed	Remaining
641	16436	9165
642	16464	9141
643	16483	9111
644	16503	9083
645	16521	9053
646	16544	9026
647	16567	8999
648	16588	8971
649	16608	8943
650	16627	8913
651	16646	8884
652	16668	8857
653	16690	8830
654	16710	8801
655	16727	8771
656	16749	8744
657	16770	8716
658	16789	8687
659	16808	8659
660	16827	8630
661	16847	8601
662	16885	8583
663	16905	8554
664	16925	8526
665	16946	8498
666	16966	8470
667	16988	8443
668	17011	8416
669	17030	8387
670	17049	8359
671	17068	8331
672	17088	8303
673	17107	8274
674	17127	8246
675	17146	8218
676	17166	8190
677	17186	8162
678	17205	8133
679	17229	8107
680	17252	8081
681	17270	8052
682	17288	8024
683	17306	7995
684	17327	7968
685	17348	7940
686	17368	7913
687	17393	7887
688	17411	7859
689	17434	7832
690	17453	7804
691	17473	7777
692	17492	7749
693	17514	7722
694	17533	7694
695	17552	7666
696	17570	7638
697	17594	7612
698	17614	7585
699	17634	7557
700	17657	7531
701	17674	7502
702	17717	7485
703	17737	7457
704	17756	7430
705	17775	7402
706	17795	7374
707	17815	7347
708	17841	7322
709	17860	7295
710	17879	7267
711	17895	7238
712	17914	7211
713	17939	7185
714	17957	7158
715	17975	7130
716	17997	7103
717	18017	7076
718	18036	7049
719	18057	7022
720	18075	6994
721	18092	6966
722	18114	6940
723	18133	6912
724	18156	6887
725	18174	6859
726	18198	6833
727	18218	6806
728	18240	6780
729	18261	6754
730	18279	6726
731	18298	6699
732	18323	6674
733	18342	6647
734	18378	6626
735	18398	6599
736	18419	6572
737	18437	6545
738	18457	6518
739	18476	6491
740	18500	6466
741	18522	6440
742	18545	6414
743	18564	6387
744	18586	6361
745	18606	6335
746	18633	6310
747	18655	6284
748	18675	6258
749	18696	6232
750	18715	6205
751	18736	6179
752	18757	6152
753	18791	6131
754	18821	6107
755	18841	6080
756	18864	6055
757	18883	6028
758	18902	6001
759	18919	5974
760	18939	5948
761	18959	5921
762	18986	5897
763	19005	5870
764	19024	5844
765	19055	5821
766	19077	5795
767	19097	5768
768	19115	5742
769	19135	5715
770	19153	5689
771	19172	5662
772	19193	5636
773	19212	5609
774	19230	5582
775	19249	5556
776	19267	5529
777	19293	5505
778	19312	5478
779	19333	5452
780	19360	5428
781	19388	5404
782	19414	5380
783	19445	5357
784	19466	5331
785	19484	5305
786	19508	5279
787	19531	5254
788	19553	5229
789	19585	5206
790	19606	5180
791	19630	5155
792	19650	5129
793	19677	5105
794	19700	5080
795	19732	5056
796	19752	5031
797	19774	5005
798	19795	4979
799	19815	4953
800	19834	4927
801	19855	4901
802	19875	4876
803	19907	4852
804	19927	4827
805	19946	4801
806	19966	4775
807	19984	4748
808	20002	4722
809	20028	4698
810	20047	4671
811	20066	4645
812	20087	4620
813	20105	4594
814	20130	4569
815	20150	4543
816	20173	4518
817	20194	4493
818	20213	4467
819	20231	4440
820	20254	4416
821	20273	4390
822	20291	4364
823	20316	4339
824	20335	4313
825	20358	4288
826	20388	4265
827	20406	4238
828	20424	4213
829	20444	4187
830	20462	4161
831	20483	4135
832	20502	4110
833	20528	4086
834	20549	4060
835	20569	4035
836	20589	4009
837	20609	3984
838	20628	3958
839	20648	3933
840	20665	3907
841	20683	3881
842	20701	3855
843	20727	3831
844	20746	3805
845	20766	3780
846	20785	3754
847	20805	3729
848	20824	3703
849	20844	3678
850	20865	3653
851	20885	3627
852	20904	3602
853	20922	3576
854	20941	3551
855	20967	3527
856	20986	3501
857	21006	3476
858	21030	3452
859	21047	3426
860	21068	3401
861	21089	3376
862	21107	3350
863	21128	3325
864	21151	3301
865	21171	3275
866	21192	3250
867	21212	3225
868	21232	3200
869	21254	3175
870	21273	3150
871	21295	3125
872	21315	3100
873	21338	3076
874	21357	3051
875	21382	3026
876	21404	3002
877	21425	2977
878	21448	2952
879	21469	2927
880	21489	2902
881	21508	2877
882	21531	2853
883	21552	2828
884	21574	2803
885	21598	2779
886	21618	2754
887	21639	2729
888	21669	2705
889	21690	2680
890	21710	2655
891	21729	2630
892	21751	2606
893	21773	2581
894	21793	2556
895	21817	2532
896	21838	2507
897	21859	2482
898	21882	2458
899	21902	2433
900	21923	2408
901	21943	2384
902	21962	2359
903	21981	2334
904	22001	2309
905	22022	2284
906	22042	2260
907	22063	2235
908	22086	2211
909	22109	2186
910	22135	2162
911	22155	2137
912	22181	2113
913	22226	2091
914	22250	2066
915	22272	2042
916	22291	2017
917	22317	1993
918	22339	1968
919	22359	1944
920	22381	1919
921	22401	1895
922	22423	1870
923	22449	1846
924	22482	1822
925	22504	1798
926	22528	1774
927	22559	1750
928	22580	1725
929	22598	1700
930	22620	1676
931	22643	1652
932	22665	1627
933	22691	1603
934	22718	1579
935	22737	1554
936	22757	1530
937	22777	1505
938	22803	1481
939	22821	1456
940	22839	1432
941	22858	1407
942	22880	1383
943	22902	1358
944	22922	1334
945	22941	1309
946	22960	1284
947	22978	1260
948	22998	1235
949	23018	1211
950	23037	1186
951	23057	1162
952	23082	1138
953	23102	1113
954	23123	1089
955	23144	1065
956	23165	1040
957	23186	1016
958	23204	992
959	23222	967
960	23247	943
961	23270	919
962	23307	895
963	23327	871
964	23348	846
965	23369	822
966	23391	798
967	23410	773
968	23430	749
969	23455	725
970	23474	701
971	23494	676
972	23519	652
973	23536	628
974	23565	604
975	23584	579
976	23605	555
977	23624	531
978	23645	507
979	23666	482
980	23689	458
981	23712	434
982	23732	410
983	23760	386
984	23784	362
985	23805	338
986	23825	313
987	23847	289
988	23867	265
989	23887	241
990	23905	217
991	23926	192
992	23947	168
993	23966	144
994	23985	120
995	24005	96
996	24029	72
997	24050	48
998	24075	24
999	24093	0
